APK,APKPackage,ClassToSearch,MethodToSearch,FoundAtClass,FoundAtMethod,Arguments0,Arguments1,Arguments2,Arguments3,Unit
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),com.anagog.jedai.core.internal.fillInStackTrace,com.google.android.gms.location.LocationRequest setVersion(int),Variable,,,,virtualinvoke $r0.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>($i0)
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setPriority(int),com.anagog.jedai.core.service.broadcast.FusedWakeupBroadcastReceiver$Companion,"void PlaceV1$Manifest(android.content.Context,com.google.android.gms.location.FusedLocationProviderClient)",Variable,,,,virtualinvoke $r7.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setPriority(int)>($i0)
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),com.reactnativecommunity.geolocation.PlayServicesLocationManager,void startObserving(com.facebook.react.bridge.ReadableMap),Variable,,,,virtualinvoke $r3.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>($l1)
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),com.anagog.jedai.core.service.broadcast.FusedLocationBroadcastReceiver,com.google.android.gms.location.LocationRequest setSize1(),Variable,,,,virtualinvoke $r0.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>($l3)
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),com.anagog.jedai.core.internal.isEmpty,boolean PlaceV1$Manifest(com.anagog.jedai.core.internal.cs),Variable,,,,virtualinvoke $r4.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>($l3)
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setInterval(long),com.anagog.jedai.core.service.broadcast.FusedWakeupBroadcastReceiver$Companion,"void PlaceV1$Manifest(android.content.Context,com.google.android.gms.location.FusedLocationProviderClient)",Variable,,,,virtualinvoke $r7.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setInterval(long)>($l5)
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.LocationRequest,com.google.android.gms.location.LocationRequest setExpirationDuration(long),com.reactnativecommunity.geolocation.PlayServicesLocationManager,void startObserving(com.facebook.react.bridge.ReadableMap),Variable,,,,virtualinvoke $r3.<com.google.android.gms.location.LocationRequest: com.google.android.gms.location.LocationRequest setExpirationDuration(long)>($l1)
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.FusedLocationProviderClient,"com.google.android.gms.tasks.Task requestLocationUpdates(com.google.android.gms.location.LocationRequest,android.app.PendingIntent)",com.anagog.jedai.core.service.broadcast.FusedLocationBroadcastReceiver$getVersion,"void getVersion(com.google.android.gms.location.FusedLocationProviderClient,com.google.android.gms.location.LocationRequest,android.app.PendingIntent)",,,,,"virtualinvoke $r0.<com.google.android.gms.location.FusedLocationProviderClient: com.google.android.gms.tasks.Task requestLocationUpdates(com.google.android.gms.location.LocationRequest,android.app.PendingIntent)>($r1, $r2)"
base.apk,br.com.petrobras.br.ma02,com.google.android.gms.location.FusedLocationProviderClient,"com.google.android.gms.tasks.Task requestLocationUpdates(com.google.android.gms.location.LocationRequest,android.app.PendingIntent)",com.anagog.jedai.core.service.broadcast.FusedWakeupBroadcastReceiver$Companion,"void PlaceV1$Manifest(android.content.Context,com.google.android.gms.location.FusedLocationProviderClient)",,,,,"virtualinvoke $r1.<com.google.android.gms.location.FusedLocationProviderClient: com.google.android.gms.tasks.Task requestLocationUpdates(com.google.android.gms.location.LocationRequest,android.app.PendingIntent)>($r7, $r9)"
base.apk,br.com.petrobras.br.ma02,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",w2,"void a(android.location.LocationManager,v2$a,u2)",0,0.0,,,"virtualinvoke $r1.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>(""gps"", 0L, 0.0F, $r4)"
base.apk,br.com.petrobras.br.ma02,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",w2,"void a(android.location.LocationManager,v2$a,u2)",1000,0.0,,,"virtualinvoke $r1.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>(""network"", 1000L, 0.0F, $r4)"
base.apk,br.com.petrobras.br.ma02,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",com.reactnativecommunity.geolocation.AndroidLocationManager,void startObserving(com.facebook.react.bridge.ReadableMap),1000,Variable,,,"virtualinvoke $r8.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>($r3, 1000L, $f0, $r1)"
base.apk,br.com.petrobras.br.ma02,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)",com.reactnativecommunity.geolocation.AndroidLocationManager$SingleUpdateRequest,void invoke(android.location.Location),100,1.0,,,"virtualinvoke $r3.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener)>($r4, 100L, 1.0F, $r1)"
base.apk,br.com.petrobras.br.ma02,android.location.LocationManager,"void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)",com.anagog.jedai.core.internal.writeReplace,boolean PlaceV1$Manifest(com.anagog.jedai.core.internal.cs),Variable,Variable,,,"virtualinvoke $r3.<android.location.LocationManager: void requestLocationUpdates(java.lang.String,long,float,android.location.LocationListener,android.os.Looper)>($r4, $l2, $f0, $r7, $r9)"
base.apk,br.com.petrobras.br.ma02,android.location.LocationManager,void requestSingleUpdate\(.*\),com.kount.api.LocationCollector,void makeLocationRequest(java.lang.String),,,,,"virtualinvoke $r3.<android.location.LocationManager: void requestSingleUpdate(java.lang.String,android.location.LocationListener,android.os.Looper)>($r2, r0, null)"
